nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Pregunta P10.2.2.1 ¿Cuánto recibe normalmente por jubilación o pensión?","7","C","p10_2_2_1","p10_2_2_1","0000039...0380000,9999888,9999999"
"Pregunta P10.2.2.2 ¿Cada cuándo lo recibe?","1","C","p10_2_2_2","p10_2_2_2","1…8"
"Pregunta P10.1.3 De octubre del 2018 a la fecha, ¿usted recibió dinero de familiares o conocidos que viven en el país?","1","C","p10_1_3","p10_1_3","1,2,9"
"Pregunta P10.2.3.1 ¿Cuánto recibe normalmente de familiares o conocidos que viven en el país?","7","C","p10_2_3_1","p10_2_3_1","0000020...2000000,9999888,9999999"
"Pregunta P10.2.3.2 ¿Cada cuándo lo recibe?","1","C","p10_2_3_2","p10_2_3_2","1…8"
"Pregunta P10.1.4 De octubre del 2018 a la fecha, ¿usted recibió dinero de familiares o conocidos que viven fuera del país?","1","C","p10_1_4","p10_1_4","1,2,9"
"Pregunta P10.2.4.1 ¿Cuánto recibe normalmente de familiares o conocidos que viven fuera del país?","7","C","p10_2_4_1","p10_2_4_1","0000035...2000000,9999888,9999999"
"Pregunta P10.2.4.2 ¿Cada cuándo lo recibe?","1","C","p10_2_4_2","p10_2_4_2","1…8"
"Pregunta P10.1.5 De octubre del 2018 a la fecha, ¿usted recibió dinero por el alquiler de algún bien (placas para taxi, automóvil, etcétera)?","1","C","p10_1_5","p10_1_5","1,2,9"
"Pregunta P10.2.5.1 ¿Cuánto recibe normalmente por el alquiler de algún bien (placas para taxi, automóvil, etcétera)?","7","C","p10_2_5_1","p10_2_5_1","0000200...0036000,9999888"
"Pregunta P10.2.5.2 ¿Cada cuándo lo recibe?","1","C","p10_2_5_2","p10_2_5_2","1…8"
"Pregunta P10.1.6 De octubre del 2018 a la fecha, ¿usted recibió dinero por la renta de alguna propiedad (casa, edificio, local, terreno, tierra de cultivo, etcétera)?","1","C","p10_1_6","p10_1_6","1,2,9"
"Pregunta P10.2.6.1 ¿Cuánto recibe normalmente por la renta de alguna propiedad (casa, edificio, local, terreno, tierra de cultivo, etcétera)?","7","C","p10_2_6_1","p10_2_6_1","0000001...4000000,9999888,9999999"
"Pregunta P10.2.6.2 ¿Cada cuándo lo recibe?","1","C","p10_2_6_2","p10_2_6_2","1…8"
"Pregunta P10.1.7 De octubre del 2018 a la fecha, ¿usted recibió dinero por retiro de intereses bancarios?","1","C","p10_1_7","p10_1_7","1,2,9"
"Pregunta P10.2.7.1 ¿Cuánto recibe normalmente por retiro de intereses bancarios?","7","C","p10_2_7_1","p10_2_7_1","0000002...0070000,9999888,9999999"
"Pregunta P10.2.7.2 ¿Cada cuándo lo recibe?","1","C","p10_2_7_2","p10_2_7_2","1…3,8"
"Pregunta P10.1.8 De octubre del 2018 a la fecha, ¿usted recibió dinero por venta o empeño de algún bien (casa, joyas, vehículos, maquinaria, animales, electrodomésticos, etcétera)?","1","C","p10_1_8","p10_1_8","1,2,9"
